,TIMESTAMP,INSTRUMENT,SYMBOL,OPEN,HIGH,LOW,CLOSE,COI,PCR
49,25-NOV-2020,FUTSTK,GODREJCP,710.55,711.25,691.65,695.95,4081000,0.452630983380285
50,25-NOV-2020,FUTSTK,GODREJPROP,1127.2,1145.05,1074.3,1083.55,1565850,0.6513839521211489
51,25-NOV-2020,FUTSTK,GRASIM,861.6,872.95,839.3,842.7,19124450,0.7644384998050905
52,25-NOV-2020,FUTSTK,HAVELLS,824.6,835.0,813.4,817.05,4770000,0.9808803151452077
53,25-NOV-2020,FUTSTK,HCLTECH,846.55,849.95,823.7,826.2,20037500,0.4660297849704459
54,25-NOV-2020,FUTSTK,HDFC,2233.5,2254.85,2183.55,2191.0,26913600,0.594169839364101
55,25-NOV-2020,FUTSTK,HDFCBANK,1446.8,1459.7,1401.05,1406.55,32749750,0.933501387619981
56,25-NOV-2020,FUTSTK,HDFCLIFE,672.35,689.0,663.65,666.5,11644600,0.5424099662091767
57,25-NOV-2020,FUTSTK,HEROMOTOCO,3072.45,3083.9,2996.25,3006.65,3311100,0.4814811145548586
58,25-NOV-2020,FUTSTK,HINDALCO,226.5,229.85,221.8,223.15,30375200,0.9559772930855005
59,25-NOV-2020,FUTSTK,HINDPETRO,214.6,215.95,211.2,212.2,30294000,0.9758091919563102
60,25-NOV-2020,FUTSTK,HINDUNILVR,2152.75,2167.85,2124.0,2135.0,6556500,0.5908556866025482
61,25-NOV-2020,FUTSTK,IBULHSGFIN,184.9,196.25,184.45,185.25,20435200,0.5378597704933819
62,25-NOV-2020,FUTSTK,ICICIBANK,484.35,490.7,471.6,472.95,120293250,0.732644225433845
63,25-NOV-2020,FUTSTK,ICICIGI,1378.45,1400.85,1374.9,1384.55,569925,0.2461516185373888
64,25-NOV-2020,FUTSTK,ICICIPRULI,452.85,460.85,444.0,448.15,7788000,0.6429304142205613
65,25-NOV-2020,FUTSTK,IDEA,10.3,10.35,9.6,9.75,505050000,0.46873573405010277
66,25-NOV-2020,FUTSTK,IDFCFIRSTB,36.65,37.1,35.5,35.65,127946000,0.5560087765096894
67,25-NOV-2020,FUTSTK,IGL,456.85,460.2,448.8,451.15,3907750,0.41398157989208956
68,25-NOV-2020,FUTSTK,INDIGO,1656.4,1659.7,1586.75,1594.45,3485000,0.8404074794116287
